"authorText","contentText"
"@KokBisa","Kalo bisa, hewan apa yang pengen kalian bangkitin dari masa lalu?👀"
"@kny9648","#Request\nApa yang terjadi jika semua pulau sebesar Singapura, apakah kejahatan bisa berkurang? Soalnya sulit untuk bersembunyi jika berbuat jahat di tempat sekecil itu"
"@mfznal-hafidz8592","tapi mungkin benar seperti yang dikatakan dosen ane: ""setiap awan memiliki garis perak""\n""every cloud has silver lining""\n""setiap sesuatu pasti ada hikmahnya""\nContohnya kalo elang haast masih ada, kemungkinan anak-anak di Selandia Baru mungkin banyak yang jadi korban mengingat elang tersebut merupakan unggas pemangsa terbesar (sekarang elang harpa) yang bukan dinosaurus alias morfologinya masih mirip unggas zaman sekarang"
"@hna7568","Kobi bahas mitos/fakta AC dong,kan ada kabar AC merusak ozon sampai ada yg ngeclaim bahwa AC mereka tidak merusak ozon memakai varian freon 410a"
"@chargedcreeper5515","Pada akhirnya kita akan menjadi alien yang sering di gambarkan di film,komik,kartun"
"@ravanazzam2508","Salutt deh sama KoBi, semua pertanyaan² sepele yg sering sy pikirkan, semuanya dijawab tuntas sama Kok Bisa? ❤🎉"
"@Dhiasyafa","Info sejarah yg mudah dimengerti. Dhiasyafa suka ❤️❤️❤️"
"@yudhapratama1011","Nonton kok bisa nyari ilmu ❌\nNonton kok bisa nyari Easter Egg ✔️"
"@UIDNetwork","WAOWWW.. manusia bisa merubah wajah dunia bahkan makhluk purba pun akan punah karena ulahnya. bagi kaka yang berkenan memberikan feed back silahkan di tunggu.💞"
"@saevulbahri7899","Kalau ukuran makhluk hidup gak mengecil, mungkin dunia udah sesak banget sekarang"
"@user-rf5dm1xh3f","""PENGISI SUARA TERBAIK""🥳🥳🥳"
"@Wahyu-rf9pn","Semangat terus bang kontennya 💪💪💪💪💪❤"
"@andresunur2166","Bang Kobi mau nanya ""Apa jadinya kalo dunia tidak ada manusia"""
"@sayyidhusen1739","Bang semoga semangat terus dan jaga kesehatan dan lanjutkan😊"
